Index,Disease Name,Supplement Name,Supplement Image,Buy Link,Drug Description
0,Apple___Apple_scab,Thuốc Trừ Nấm Lá (Đặc Trị 97% Các Loại Bệnh Nấm),https://github.com/sorimachi-tech/contest/blob/main/MEDICINE/Apple___Apple_scab/Apple___Apple_scab.png?raw=true,,"<i><b> Hiệu quả: </b></i> Thuốc Deep là một loại thuốc dùng để phòng và trị bệnh cho cây trồng. Thuốc này có các công dụng chính sau: Deep có khả năng ngăn chặn sự phát triển của vi khuẩn, nấm và các tác nhân gây bệnh khác trên cây trồng. Khi sử dụng đúng cách, thuốc giúp bảo vệ cây khỏi sự tấn công của các tác nhân gây hại và ngăn ngừa sự lây lan của dịch bệnh trong vườn. Deep còn cung cấp các thành phần dinh dưỡng và chất kích thích sinh trưởng, giúp tăng sức đề kháng và sức sống cho cây. Thuốc cũng có khả năng kích thích quá trình phục hồi của cây sau khi bị bệnh. Các thành phần trong thuốc giúp cây phục hồi mạnh mẽ, thúc đẩy sự phát triển của rễ và lá, từ đó đưa cây trở lại trạng thái khỏe mạnh."
1,Apple___Black_rot,Kháng Sinh Mạnh - Trichoderma (Chứa 40% Protein),https://github.com/sorimachi-tech/contest/blob/main/MEDICINE/Apple___Black_rot/Apple___Black_rot.png?raw=true,,"<i><b> Hiệu quả: </b></i> Thuốc Trichoderma là thuốc sinh học dùng để phòng và trị bệnh cho cây trồng. Thuốc này chứa các chủng vi sinh vật có đặc tính kháng khuẩn và kháng nấm. Công dụng chính của thuốc Trichoderma: có khả năng ức chế sự phát triển của vi khuẩn và nấm gây bệnh trên cây trồng. Khi sử dụng đúng cách, thuốc có thể giúp ngăn chặn sự lây lan của dịch bệnh và bảo vệ cây khỏi các tác nhân gây hại."
2,Apple___Cedar_apple_rust,Kháng Sinh Mạnh - Trichoderma (Chứa 40% Protein),https://github.com/sorimachi-tech/contest/blob/main/MEDICINE/Apple___Cedar_apple_rust/Apple___Cedar_apple_rust.png?raw=true,,"<i><b> Hiệu quả: </b></i> Thuốc Trichoderma là thuốc sinh học dùng để phòng và trị bệnh cho cây trồng. Thuốc này chứa các chủng vi sinh vật có đặc tính kháng khuẩn và kháng nấm. Công dụng chính của thuốc Trichoderma: có khả năng ức chế sự phát triển của vi khuẩn và nấm gây bệnh trên cây trồng. Khi sử dụng đúng cách, thuốc có thể giúp ngăn chặn sự lây lan của dịch bệnh và bảo vệ cây khỏi các tác nhân gây hại."
3,Apple___healthy,Vi Khuẩn Humic + Cây Khỏe Mạnh (Chứa Amino),https://github.com/sorimachi-tech/contest/blob/main/MEDICINE/Apple___healthy/Apple___healthy.png?raw=true,,"<i><b> Hiệu quả: </b></i> Humic Bacteria + Healthy Plants (Amino) là loại thuốc dùng để phòng và trị bệnh cho cây trồng. Thuốc có các công dụng chính như sau: chứa dinh dưỡng và vi khuẩn có lợi, giúp cải thiện sức khỏe tổng thể của cây. Các chất humic trong thuốc cung cấp những chất cần thiết giúp cây tăng cường quá trình hấp thụ dinh dưỡng và quang hợp. Vi khuẩn có lợi giúp cây hấp thụ dinh dưỡng tốt hơn và tăng sức đề kháng."
4,Background_without_leaves,Vui lòng tải lại hình ảnh có lá,https://github.com/sorimachi-tech/contest/blob/main/MEDICINE/Background_without_leaves/Background_without_leaves.png?raw=true,,Vui lòng tải lại hình ảnh có lá
5,Blueberry___healthy,Thuốc BAS Được Phê Duyệt 94% (Trị Bệnh Vi Khuẩn),https://github.com/sorimachi-tech/contest/blob/main/MEDICINE/Blueberry___healthy/Blueberry___healthy.png?raw=true,,"<i><b> Hiệu quả: </b></i> BAS là loại thuốc dùng để phòng và trị bệnh cho cây trồng. Thuốc này có các công dụng chính như sau: BAS có khả năng ngăn chặn sự phát triển của vi khuẩn, nấm và các tác nhân gây bệnh khác trên cây. Khi sử dụng đúng cách, thuốc giúp bảo vệ cây khỏi sự tấn công của các tác nhân gây hại và ngăn ngừa sự lây lan của dịch bệnh trong vườn. BAS còn có khả năng giúp cây phục hồi sau khi bị bệnh. Thành phần trong thuốc giúp kích thích quá trình phục hồi và tăng trưởng, nhanh chóng đưa cây trở lại trạng thái khỏe mạnh."
6,Cherry___healthy,Humic Vi Sinh + Đạm Cá Chất Lượng Cao,https://github.com/sorimachi-tech/contest/blob/main/MEDICINE/Cherry___healthy/Cherry___healthy.png?raw=true,,"<i><b> Hiệu quả: </b></i> Thuốc Microbial Humic + Đạm cá chất lượng cao có tác dụng quan trọng trong việc phòng và trị bệnh cho cây trồng. Cụ thể: giúp tăng cường sức khỏe và sự phát triển của cây lúa. Cung cấp dưỡng chất cần thiết và kích thích quá trình trao đổi chất trong cây, từ đó giúp lúa phát triển mạnh và đạt năng suất cao. Ngoài ra, thuốc còn giúp cải thiện chất lượng đất và cung cấp dinh dưỡng thiết yếu cho cây rau màu. Tăng cường phát triển bộ rễ, giúp cây hấp thụ dinh dưỡng tốt hơn và đồng thời nâng cao sức đề kháng trước các tác nhân gây bệnh."
7,Cherry___Powdery_mildew,Thuốc TriZon Được Phê Duyệt 98% (Trị Bệnh Phấn Trắng),https://github.com/sorimachi-tech/contest/blob/main/MEDICINE/Cherry___Powdery_mildew/Cherry___Powdery_mildew.png?raw=true,,"<i><b> Hiệu quả: </b></i> MeCin là loại thuốc dùng để phòng và trị bệnh cho cây trồng. Thuốc có các công dụng chính sau: MeCin có khả năng ngăn chặn sự phát triển của vi khuẩn, nấm và các tác nhân gây bệnh khác trên cây. Khi dùng đúng cách, thuốc giúp bảo vệ cây khỏi sự tấn công của các tác nhân gây hại và ngăn ngừa lây lan dịch bệnh trong vườn. MeCin còn có khả năng cải thiện chất lượng đất. Thành phần trong thuốc giúp cải thiện cấu trúc đất, tăng khả năng giữ nước và cung cấp dưỡng chất cho cây, từ đó giúp cây phát triển tốt hơn trong môi trường đất lý tưởng."
8,Corn___Cercospora_leaf_spot Gray_leaf_spot,Thuốc MeCin Được Phê Duyệt 98% (Trị Bệnh Cháy Lá),https://github.com/sorimachi-tech/contest/blob/main/MEDICINE/Corn___Cercospora_leaf_spot%20Gray_leaf_spot/Corn___Cercospora_leaf_spot%20Gray_leaf_spot.png?raw=true,,"<i><b> Hiệu quả: </b></i> MeCin là loại thuốc dùng để phòng và trị bệnh cho cây trồng. Thuốc có các công dụng chính sau: MeCin có khả năng ngăn chặn sự phát triển của vi khuẩn, nấm và các tác nhân gây bệnh khác trên cây. Khi dùng đúng cách, thuốc giúp bảo vệ cây khỏi sự tấn công của các tác nhân gây hại và ngăn ngừa lây lan dịch bệnh trong vườn. MeCin còn có khả năng cải thiện chất lượng đất. Thành phần trong thuốc giúp cải thiện cấu trúc đất, tăng khả năng giữ nước và cung cấp dưỡng chất cho cây, từ đó giúp cây phát triển tốt hơn trong môi trường đất lý tưởng."
9,Corn___Common_rust,Thuốc BAS Được Phê Duyệt 94% (Trị Bệnh Vi Khuẩn),https://github.com/sorimachi-tech/contest/blob/main/MEDICINE/Corn___Common_rust/Corn___Common_rust.png?raw=true,,"<i><b> Hiệu quả: </b></i> BAS là loại thuốc dùng để phòng và trị bệnh cho cây trồng. Thuốc này có các công dụng chính như sau: BAS có khả năng ngăn chặn sự phát triển của vi khuẩn, nấm và các tác nhân gây bệnh khác trên cây. Khi sử dụng đúng cách, thuốc giúp bảo vệ cây khỏi sự tấn công của các tác nhân gây hại và ngăn ngừa sự lây lan của dịch bệnh trong vườn. BAS còn có khả năng giúp cây phục hồi sau khi bị bệnh. Thành phần trong thuốc giúp kích thích quá trình phục hồi và tăng trưởng, nhanh chóng đưa cây trở lại trạng thái khỏe mạnh."
